"title","authors","journal_date_doi","date","doi","volume_issue","pages","abstract","link"
"[Progress in pediatric cardiology, congenital heart disease in adults, and heart surgery for congenital heart disease].","García-Guereta L, Benito F, Portela F, Caffarena J.","Rev Esp Cardiol. 2010 Jan;63 Suppl 1:29-39. doi: 10.1016/s0300-8932(10)70138-x.","2010","10.1016/s0300-8932(10)70138-x.","N/A","29-39","The field of pediatric cardiology is continually developing and now covers not only congenital and acquired heart disease in children but also congenital heart disease in adults and the prenatal diagnosis and prevention of heart disease. …","https://pubmed.ncbi.nlm.nih.gov/20223177/"
"[HEART DISEASE IN FRIEDREICH'S ATAXIA. (SURVEY OF THE CASES REPORTED SINCE 1929 AND 10 PERSONAL OBSERVATIONS)].","KOLB P, SO CS, BLOEMER H.","Arch Kreislaufforsch. 1963 Dec;42:112-56.","1963","N/A","N/A","112-56","","https://pubmed.ncbi.nlm.nih.gov/14116951/"
"The constellation of hypertensive heart disease.","Pavlopoulos H, Nihoyannopoulos P.","Hellenic J Cardiol. 2008 Mar-Apr;49(2):92-9.","2008","N/A","49(2)","92-9","Hypertension should be regarded not as a simple elevation of blood pressure, but as a constellation of functional and structural abnormalities that create a phenotypic portrait of hypertensive disease. Recent research has expanded our knowledge related to hypertensive h …","https://pubmed.ncbi.nlm.nih.gov/18459466/"
"Hypoventilation and heart-disease.","GILLAM PM, MYMIN D.","Lancet. 1961 Oct 14;2(7207):853-5. doi: 10.1016/s0140-6736(61)90743-7.","1961 Oct 14","10.1016/s0140-6736(61)90743-7.","2(7207)","853-5","","https://pubmed.ncbi.nlm.nih.gov/13898609/"
"The evolving role of genetics in the diagnosis and management of heart disease.","Beery TA.","Nurs Clin North Am. 2000 Dec;35(4):963-73.","2000","N/A","35(4)","963-73","The role of genetics in heart disease diagnosis and management is expanding daily. Clear genetic components have been found for diseases such as hypertrophic cardiomyopathy, heart failure, and coronary artery disease. Rhythm disturbances with ge …","https://pubmed.ncbi.nlm.nih.gov/11072281/"
"SCAI Is the voice of congenital and structural heart disease interventionalists.","Kavinsky CJ, McElhinney DB, Blankenship JC.","Catheter Cardiovasc Interv. 2016 Feb 15;87(3):349-50. doi: 10.1002/ccd.26446.","2016 Feb 15","10.1002/ccd.26446.","87(3)","349-50","","https://pubmed.ncbi.nlm.nih.gov/26919335/"
"IATROGENIC heart disease.","[No authors listed]","J Am Med Assoc. 1953 May 30;152(5):457. doi: 10.1001/jama.1953.03690050081014.","1953 May 30","10.1001/jama.1953.03690050081014.","152(5)","N/A","","https://pubmed.ncbi.nlm.nih.gov/13044549/"
"[Heart disease].","SIEBECK R.","Schweiz Med Wochenschr. 1953 May 30;83(22):507-9.","1953 May 30","N/A","83(22)","507-9","","https://pubmed.ncbi.nlm.nih.gov/13076090/"
"[Hypertensive heart disease in the patient with chronic kidney disease].","Díez J, Laviades C.","Nefrologia. 2008;28(2):135-42.","2008","N/A","28(2)","135-42","","https://pubmed.ncbi.nlm.nih.gov/18454701/"
"Heart disease and pregnancy.","CAMPBELL M.","Guys Hosp Gaz. 1947 Jun 21;61(1537):169-77.","1947 Jun 21","N/A","61(1537)","169-77","","https://pubmed.ncbi.nlm.nih.gov/20250173/"
"Functional heart disease.","Peltola P.","Suom Laakaril. 1952 Dec 15;(24):1007-10.","1952 Dec 15","N/A","N/A","1007-10","","https://pubmed.ncbi.nlm.nih.gov/13049041/"
"Beriberi heart disease.","BARRERA F.","Trans Am Coll Cardiol. 1955 Apr;4:303-5.","1955","N/A","N/A","303-5","","https://pubmed.ncbi.nlm.nih.gov/14373792/"
"Hypertensive heart disease.","WRIGHT J.","Practitioner. 1955 Feb;174(1040):144-50.","1955","N/A","174(1040)","144-50","","https://pubmed.ncbi.nlm.nih.gov/14357143/"
"Congenital heart disease.","RUPRECHT HA.","J Okla State Med Assoc. 1947 Oct;40(10):417-20.","1947","N/A","40(10)","417-20","","https://pubmed.ncbi.nlm.nih.gov/20267313/"
"Congenital heart disease.","HAMILTON FC.","Univ Toronto Med J. 1947 Nov;25(2):38-43.","1947","N/A","25(2)","38-43","","https://pubmed.ncbi.nlm.nih.gov/20272913/"
"Congenital heart disease.","CAMP PD.","South Med Surg. 1947 Nov;109(11):357-64.","1947","N/A","109(11)","357-64","","https://pubmed.ncbi.nlm.nih.gov/20271411/"
"Women and heart disease: a British Heart Foundation initiative.","Jackson G.","Int J Clin Pract. 2003 Mar;57(2):75.","2003","N/A","57(2)","N/A","","https://pubmed.ncbi.nlm.nih.gov/12661784/"
"Cardiac transplantation and other therapeutic options in the treatment of end-stage heart disease.","Dabol R, Edwards NM.","Compr Ther. 2000 Summer;26(2):109-13. doi: 10.1007/s12019-000-0020-y.","2000","10.1007/s12019-000-0020-y.","26(2)","109-13","This article focuses on the surgical treatment of heart failure. It reviews the advances and limitations of heart transplantation and gives a broad overview of emerging technologies in the treatment of end-stage heart disease....","https://pubmed.ncbi.nlm.nih.gov/10822790/"
"Heartbeat: Telemedicine for echocardiography screening.","Otto CM.","Heart. 2019 Feb;105(4):261-263. doi: 10.1136/heartjnl-2019-314705.","2019","10.1136/heartjnl-2019-314705.","105(4)","261-263","","https://pubmed.ncbi.nlm.nih.gov/31693482/"
